fbi_code,feature,importance
01A,27,0.00010362089706264762
01A,sun_longitude,0.031035045399488172
01A,moon_longitude,0.020789259046608666
01A,mercury_longitude,0.02697984356451894
01A,venus_longitude,0.019906302286136886
01A,mars_longitude,0.008385568031741673
01A,jupiter_longitude,0.006003154839482985
01A,saturn_longitude,0.014194238462043185
01A,uranus_longitude,0.009716527392266227
01A,neptune_longitude,0.017610436563080947
01A,pluto_longitude,0.014732021026007706
01A,moon_phase,0.019324271327534625
01A,moon_distance,0.02075767157469716
01A,ascendant,0.025908197767725197
01A,midheaven,0.036990167710403955
01A,north_node,0.012607583006962663
01A,south_node,0.01411580883599605
01A,mercury_retrograde,0.0009035983261229654
01A,eclipse_proximity,0.009562621305317574
01A,conjunctions,0.006331085947024453
01A,oppositions,0.004373596164396005
01A,squares,0.006826887281151363
01A,sun_dignity,0.000501522916062426
01A,moon_dignity,0.0016584200743807035
01A,mercury_dignity,0.0005216129928198733
01A,aggression_eris_longitude,0.015413549182159772
01A,aggression_nessus_longitude,0.010019038164990479
01A,aggression_ate_longitude,0.007907617423487388
01A,aggression_orcus_longitude,0.023372345983959826
01A,aggression_amycus_longitude,0.006814363693916578
01A,aggression_thereus_longitude,0.005861471251340286
01A,aggression_kleinman_longitude,0.004463148534832594
01A,aggression_sekhmet_longitude,0.003995738151718449
01A,aggression_tyson_longitude,0.006571256940370865
01A,aggression_schubart_longitude,0.004232624588532151
01A,aggression_aristaeus_longitude,0.0039010797587813047
01A,aggression_toro_longitude,0.005423668557406265
01A,aggression_amphimachus_longitude,0.006537104739601721
01A,aggression_balbastre_longitude,0.004597810341883434
01A,mayhem_rhiphonos_longitude,0.003955276232691806
01A,mayhem_chaos_longitude,0.012542515220580346
01A,mayhem_phaeton_longitude,0.0056178275241523055
01A,mayhem_wild_longitude,0.004284588190430105
01A,mayhem_hybris_longitude,0.00589872918258359
01A,mayhem_hel_longitude,0.005884752799162547
01A,mayhem_apophis_longitude,0.011465458666593637
01A,explosive_pholus_longitude,0.01197316609532315
01A,explosive_tl66_longitude,0.004659404915807615
01A,explosive_bomben_longitude,0.0028415890739180217
01A,explosive_bombig_longitude,0.005149888613724181
01A,explosive_bam_longitude,0.005651209608785959
01A,explosive_salpeter_longitude,0.007425461681980319
01A,explosive_salpetriere_longitude,0.005745982683350773
01A,victims_pain_sedna_longitude,0.023004403545075037
01A,victims_pain_chiron_longitude,0.006896351308716047
01A,victims_pain_dejanira_longitude,0.006529097474725789
01A,victims_pain_nyctimene_longitude,0.003282102391576829
01A,victims_pain_sado_longitude,0.004536503736055601
01A,victims_pain_paine_longitude,0.005137763559977456
01A,victims_pain_lacrimosa_longitude,0.007238430933642076
01A,victims_pain_grieve_longitude,0.004869874775036408
01A,victims_pain_sisyphus_longitude,0.0049293962512065035
01A,death_kaali_longitude,0.0057970860162832845
01A,death_crantor_longitude,0.00460736394953866
01A,death_pyramus_longitude,0.005163721002951252
01A,death_thisbe_longitude,0.005067682471966287
01A,death_eurydike_longitude,0.00673492457811809
01A,firearms_gunn_longitude,0.006188964172240967
01A,firearms_gunnie_longitude,0.004992641654405151
01A,firearms_gunma_longitude,0.004433476852807869
01A,firearms_shotwell_longitude,0.004373657484446036
01A,knives_cutts_longitude,0.005877255891001381
01A,knives_cutillo_longitude,0.005530712629336914
01A,knives_sharp_longitude,0.005246291618350654
01A,prostitution_pylenor_longitude,0.00526044808450435
01A,prostitution_kythera_longitude,0.006222318563980326
01A,prostitution_poutanen_longitude,0.00363325654795996
01A,prostitution_messalina_longitude,0.006344582573526603
01A,prostitution_slettebak_longitude,0.00837503261788912
01A,prostitution_lust_longitude,0.005943460259845637
01A,drugs_dionysus_longitude,0.007903352384630736
01A,drugs_bacchus_longitude,0.006311551471035443
01A,drugs_beer_longitude,0.0041817923564336145
01A,drugs_syringa_longitude,0.005044301797435888
01A,drugs_syrinx_longitude,0.005092035205511976
01A,drugs_pillmore_longitude,0.005926035248904983
01A,drugs_datura_longitude,0.004289186968217034
01A,money_midas_longitude,0.005316912301836198
01A,money_mony_longitude,0.004247116323523013
01A,money_gold_longitude,0.00510249590239218
01A,money_golden_longitude,0.004985129060465879
01A,money_goldfinger_longitude,0.004651379606012179
01A,money_goldreich_longitude,0.006097641591255619
01A,money_silver_longitude,0.005129483454716468
01A,fire_pyrrhus_longitude,0.00657489454403918
01A,fire_burnett_longitude,0.006068978448188584
01A,fire_burney_longitude,0.007215792153883977
01A,fire_burns_longitude,0.0034860963103193164
01A,fire_burnim_longitude,0.005893060278386092
01A,fire_fireman_longitude,0.006517559790747946
01A,obstacles_alu_longitude,0.005372129393218675
01A,obstacles_hinderer_longitude,0.005356090046602725
01A,obstacles_lysistrata_longitude,0.004976376591973514
01A,dishonesty_lie_longitude,0.00527987705311629
01A,dishonesty_swindle_longitude,0.003946394491180478
01A,dishonesty_cardea_longitude,0.005971651475036997
01A,computer_hack_longitude,0.004036977229757815
01A,computer_hackman_longitude,0.0045619077727224585
01A,law_justice_polizzi_longitude,0.0048127841359275406
01A,law_justice_polit_longitude,0.004702030734863364
01A,law_justice_justitia_longitude,0.00525543999449227
01A,law_justice_dike_longitude,0.005727260578332057
01A,law_justice_themis_longitude,0.0043879945110353955
01A,law_justice_richthammer_longitude,0.0060773823497068365
01A,localization_chicago_longitude,0.00533275585555844
01A,localization_chikako_longitude,0.004009259421593974
01A,localization_cook_longitude,0.005225270823944871
01A,aggression_composite,0.008725702198315415
01A,mayhem_composite,0.008408133449345552
01A,explosive_composite,0.006740667839689292
01A,victims_pain_composite,0.005987303383792508
01A,death_composite,0.005136421801409996
01A,firearms_composite,0.009461556378595106
01A,knives_composite,0.005655008599076535
01A,prostitution_composite,0.0066132670474592795
01A,drugs_composite,0.005687357572373573
01A,money_composite,0.006881478367062591
01A,fire_composite,0.0071654566850434505
01A,obstacles_composite,0.0058797326693681255
01A,dishonesty_composite,0.007832189730884774
01A,computer_composite,0.005007466223034213
01A,law_justice_composite,0.005981946554191692
01A,localization_composite,0.0055074023570950755
02,27,8.48857091104005e-05
02,sun_longitude,0.019388014314346547
02,moon_longitude,0.027102409176649727
02,mercury_longitude,0.025334370356091637
02,venus_longitude,0.015940472805532974
02,mars_longitude,0.008398238139496205
02,jupiter_longitude,0.008685629556542677
02,saturn_longitude,0.009083221967345852
02,uranus_longitude,0.01562714240771893
02,neptune_longitude,0.012261155343625476
02,pluto_longitude,0.01162966903081509
02,moon_phase,0.02592399631827397
02,moon_distance,0.022782265518500017
02,ascendant,0.019489833002863013
02,midheaven,0.024836085316756833
02,north_node,0.010960733662355747
02,south_node,0.015172746566596805
02,mercury_retrograde,0.0004907391455154353
02,eclipse_proximity,0.009455641700669828
02,conjunctions,0.00807525399610403
02,oppositions,0.00552310021950681
02,squares,0.00952273382440667
02,sun_dignity,0.00040221208439212777
02,moon_dignity,0.0014135498744297953
02,mercury_dignity,0.0006982396089707813
02,aggression_eris_longitude,0.011444042694116861
02,aggression_nessus_longitude,0.014234872532023808
02,aggression_ate_longitude,0.007533551965998334
02,aggression_orcus_longitude,0.010920849383624429
02,aggression_amycus_longitude,0.006031802228804834
02,aggression_thereus_longitude,0.005917961393169946
02,aggression_kleinman_longitude,0.004636555691459018
02,aggression_sekhmet_longitude,0.004147568442555436
02,aggression_tyson_longitude,0.005816861010332532
02,aggression_schubart_longitude,0.0049884326088962296
02,aggression_aristaeus_longitude,0.004398987647587182
02,aggression_toro_longitude,0.006087876600633323
02,aggression_amphimachus_longitude,0.008873168116610281
02,aggression_balbastre_longitude,0.006230046048078208
02,mayhem_rhiphonos_longitude,0.00437373458261551
02,mayhem_chaos_longitude,0.012084354771274038
02,mayhem_phaeton_longitude,0.0057590097455200665
02,mayhem_wild_longitude,0.004324838964063696
02,mayhem_hybris_longitude,0.00525591620086925
02,mayhem_hel_longitude,0.004603313629490174
02,mayhem_apophis_longitude,0.01095580334491566
02,explosive_pholus_longitude,0.00951643988094646
02,explosive_tl66_longitude,0.005651261592743711
02,explosive_bomben_longitude,0.005927558925163583
02,explosive_bombig_longitude,0.004315883722756333
02,explosive_bam_longitude,0.005244774392440718
02,explosive_salpeter_longitude,0.006321284193603444
02,explosive_salpetriere_longitude,0.005451620330008966
02,victims_pain_sedna_longitude,0.020719630443024127
02,victims_pain_chiron_longitude,0.01398486745704213
02,victims_pain_dejanira_longitude,0.005443713181739964
