fbi_code,feature,importance
01A,27,0.0003378204211977073
01A,sun_longitude,0.027957576381851444
01A,moon_longitude,0.02048166914484947
01A,mercury_longitude,0.03488698919112179
01A,venus_longitude,0.018991631152448216
01A,mars_longitude,0.008702345236239023
01A,jupiter_longitude,0.006809864373672318
01A,saturn_longitude,0.0167157454651971
01A,uranus_longitude,0.011589059512425455
01A,neptune_longitude,0.01795736814979766
01A,pluto_longitude,0.015288249349067218
01A,moon_phase,0.020598788385983037
01A,moon_distance,0.02284403616579274
01A,ascendant,0.034026581964227406
01A,midheaven,0.041410021888437606
01A,north_node,0.011657466003405193
01A,south_node,0.021801391831647563
01A,mercury_retrograde,0.0005524643226149931
01A,eclipse_proximity,0.01111631203134003
01A,conjunctions,0.007809632712523765
01A,oppositions,0.004883909302862418
01A,squares,0.008217530317553288
01A,sun_dignity,0.00022074524092066076
01A,moon_dignity,0.0018846217934217566
01A,mercury_dignity,0.000656028463533768
01A,aggression_eris_longitude,0.01520105864741853
01A,aggression_nessus_longitude,0.011588498682025281
01A,aggression_ate_longitude,0.006867412684717645
01A,aggression_orcus_longitude,0.015140592861753035
01A,aggression_amycus_longitude,0.006171407612897607
01A,aggression_thereus_longitude,0.008082008579298172
01A,aggression_kleinman_longitude,0.00601133347528096
01A,aggression_sekhmet_longitude,0.005674987012668921
01A,aggression_tyson_longitude,0.007199218253952734
01A,aggression_schubart_longitude,0.004345901227187844
01A,aggression_aristaeus_longitude,0.0059749509610380405
01A,aggression_toro_longitude,0.0072924253342812155
01A,aggression_amphimachus_longitude,0.008967088640503919
01A,aggression_balbastre_longitude,0.0050895536493454204
01A,mayhem_rhiphonos_longitude,0.004528323646521031
01A,mayhem_chaos_longitude,0.012910130863428928
01A,mayhem_phaeton_longitude,0.007226699555425423
01A,mayhem_wild_longitude,0.005837319249030388
01A,mayhem_hybris_longitude,0.005312072166347555
01A,mayhem_hel_longitude,0.007123765625359969
01A,mayhem_apophis_longitude,0.012179471512145055
01A,explosive_pholus_longitude,0.017003617646853236
01A,explosive_tl66_longitude,0.006138412921034384
01A,explosive_bomben_longitude,0.004757525900557815
01A,explosive_bombig_longitude,0.005151685429574403
01A,explosive_bam_longitude,0.006864727387753689
01A,explosive_salpeter_longitude,0.007818674016530547
01A,explosive_salpetriere_longitude,0.006065798886762044
01A,victims_pain_sedna_longitude,0.020031228278141956
01A,victims_pain_chiron_longitude,0.007878208541071227
01A,victims_pain_dejanira_longitude,0.007240677538195661
01A,victims_pain_nyctimene_longitude,0.004519458387628932
01A,victims_pain_sado_longitude,0.005025283129040468
01A,victims_pain_paine_longitude,0.006369015485669209
01A,victims_pain_lacrimosa_longitude,0.005939025156704086
01A,victims_pain_grieve_longitude,0.005934405731184823
01A,victims_pain_sisyphus_longitude,0.0066967144681616695
01A,death_kaali_longitude,0.005991696769293426
01A,death_crantor_longitude,0.0070836298194227555
01A,death_pyramus_longitude,0.00559380213329635
01A,death_thisbe_longitude,0.004819039073367574
01A,death_eurydike_longitude,0.008145328614410856
01A,firearms_gunn_longitude,0.007374468300582015
01A,firearms_gunnie_longitude,0.007077501814275733
01A,firearms_gunma_longitude,0.00686799018755009
01A,firearms_shotwell_longitude,0.005984557268326331
01A,knives_cutts_longitude,0.006105100637187949
01A,knives_cutillo_longitude,0.004686152582809836
01A,knives_sharp_longitude,0.006101516997477804
01A,prostitution_pylenor_longitude,0.0069139919457769615
01A,prostitution_kythera_longitude,0.006103098446536925
01A,prostitution_poutanen_longitude,0.005259211903816186
01A,prostitution_messalina_longitude,0.007264724187941049
01A,prostitution_slettebak_longitude,0.00881730472429835
01A,prostitution_lust_longitude,0.005299086941473496
01A,drugs_dionysus_longitude,0.006491726725548211
01A,drugs_bacchus_longitude,0.005254304638414385
01A,drugs_beer_longitude,0.006114492989034539
01A,drugs_syringa_longitude,0.005800170959228749
01A,drugs_syrinx_longitude,0.006313548918423047
01A,drugs_pillmore_longitude,0.005352756138906531
01A,drugs_datura_longitude,0.00604756294148005
01A,money_midas_longitude,0.006158585497763754
01A,money_mony_longitude,0.004360052728635848
01A,money_gold_longitude,0.005793614479867903
01A,money_golden_longitude,0.005801969970523375
01A,money_goldfinger_longitude,0.006121566930148822
01A,money_goldreich_longitude,0.006757048235262027
01A,money_silver_longitude,0.005929491060960483
01A,fire_pyrrhus_longitude,0.005007463382069545
01A,fire_burnett_longitude,0.005752814577499068
01A,fire_burney_longitude,0.007553489569964365
01A,fire_burns_longitude,0.007245562985127928
01A,fire_burnim_longitude,0.004970409199593229
